"source_row","book_id","author_surname","gender","book_title","genre","binding","notes","retail_price","royalty_rate","contract_terms","publisher","publication_year","author_id","raw_royalty_rate","raw_retail_price","raw_unlabeled","raw_publisher"
31,"FHB1878B","Burnett","Female","Kathleen","Short Story Collection/Novella","Cloth","1878; printed with Polly Pemberton",,,,"Scribner's",1878,"FHB","","","","Scribner"
32,"FHB1878C","Burnett","Female","Polly Pemberton","Novel","Cloth","1878",,,,"Scribner's",1878,"FHB","","","","Scribner"
33,"FHB1879A","Burnett","Female","Miss Crespigny","Novel","Cloth","1879",,,,"Scribner's",1879,"FHB","","","","Scribner"
34,"FHB1881A","Burnett","Female","Fair Barbarian","Novel","Cloth","first published by Osgood, 1881; transferred to Scribner",1.25,0.125,"12-1/2%","Scribner's",1881,"FHB",".125","1.25","","Scribner"
35,"FHB1892A","Burnett","Female","Giovanni","Short Story Collection/Novella","Cloth","1892",1.5,0.125,"12-1/2%","Scribner's",1892,"FHB",".125","1.50","","Scribner"
36,"FHB1893A","Burnett","Female","The One I Knew Best of All","Memoir","Cloth","1893",2,0.15,"15%","Scribner's",1893,"FHB",".15","2.00","","Scribner"
37,"FHB1890A","Burnett","Female","Little Saint Elizabeth","Short Story Collection/Novella","Cloth","1890",1.5,0.125,"12-1/2%1000 royalty advance","Scribner's",1890,"FHB",".125","1.50","","Scribner"
38,"FHB1894A","Burnett","Female","Piccino","Short Story Collection/Novella","Cloth","1894",1.5,,"15%","Scribner's",1894,"FHB","","1.50","","Scribner"
39,"FHB1895A","Burnett","Female","Two Little Pilgrims’ Progress","Children's Literature/Juvenile","Cloth","1895[a story about the Chicago World’s Fair]",1.5,0.2,"20%5000 advance royalty","Scribner's",1895,"FHB",".2","1.50","","Scribner"
40,"FHB1896A","Burnett","Female","A Lady of Quality","Novel","Cloth","1896",1.5,0.2,"20%5000 advance royalty","Scribner's",1896,"FHB",".2","1.50","","Scribner"
41,"FHB1879B","Burnett","Female","Haworth’s","Novel","Cloth","1879",,,,"Scribner's",1879,"FHB","","","","Scribner"
42,"FHB1884A","Burnett","Female","Vagabondia","Novel","Cloth","1884",1.25,0.125,"12-1/2%","Scribner's",1884,"FHB",".125","1.25","","Scribner"
